Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Product group,Support Level,Country,Type
Resolved,1530,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,07-03-2023 13:30,08-03-2023 13:30,07-03-2023 13:32,31:30.0,Within SLA,36:14.4,SLA Violated,,Ready to use Software,Tier 1,Czech Republic,Request
Closed,1531,Low,Phone,Product setup,1st line support,Connor Danielovitch,07-03-2023 21:19,09-03-2023 21:19,07-03-2023 21:21,24:44.8,SLA Violated,59:49.4,Within SLA,58:07.5,Ready to use Software,Tier 1,Germany,Request
Resolved,1532,Low,Email,Feature request,1st line support,Kristos Westoll,07-03-2023 05:15,09-03-2023 05:15,07-03-2023 06:15,03:00.2,Within SLA,41:50.8,Within SLA,,Other,Tier 1,United Kingdom,Change
Resolved,1533,High,Email,Purchasing and invoicing,1st line support,Sheela Cutten,07-03-2023 23:13,09-03-2023 23:13,08-03-2023 00:13,20:56.0,Within SLA,21:43.6,Within SLA,,Training and Consulting Services,Tier 1,United Kingdom,Request
Closed,1534,High,Email,Pricing and licensing,1st line support,Sheela Cutten,07-03-2023 20:40,09-03-2023 20:40,07-03-2023 21:40,03:30.8,Within SLA,36:35.7,Within SLA,22:33.0,Custom software development,Tier 1,Austria,Request
Resolved,1535,Medium,Email,Feature request,2nd line support,Michele Whyatt,07-03-2023 19:26,09-03-2023 19:26,07-03-2023 20:26,29:49.7,Within SLA,27:17.3,Within SLA,,Other,Tier 2,United Kingdom,Change
Resolved,1536,Medium,Email,Product setup,1st line support,Nicola Wane,07-03-2023 02:09,09-03-2023 02:09,07-03-2023 03:09,27:03.0,Within SLA,46:05.5,Within SLA,,Custom software development,Tier 1,Slovenia,Request
Closed,1537,Low,Chat,Product setup,1st line support,Bernard Beckley,08-03-2023 01:02,09-03-2023 01:02,08-03-2023 01:04,03:37.5,Within SLA,54:44.2,Within SLA,24:12.3,Custom software development,Tier 1,Slovenia,Request
Closed,1538,High,Email,Product setup,1st line support,Nicola Wane,08-03-2023 10:00,10-03-2023 10:00,08-03-2023 11:00,02:00.5,Within SLA,21:32.2,Within SLA,45:17.2,Training and Consulting Services,Tier 1,Italy,Request
Resolved,1539,Low,Email,Bug report,2nd line support,Heather Urry,08-03-2023 19:03,10-03-2023 19:03,08-03-2023 20:03,17:35.9,Within SLA,27:56.7,Within SLA,,Ready to use Software,Tier 2,Germany,Incident
Closed,1540,Low,Email,Bug report,2nd line support,Heather Urry,08-03-2023 02:37,10-03-2023 02:37,08-03-2023 03:37,43:28.3,Within SLA,09:20.7,Within SLA,13:59.3,Training and Consulting Services,Tier 2,Germany,Incident
Resolved,1541,Medium,Chat,Product setup,1st line support,Kristos Westoll,08-03-2023 19:55,09-03-2023 19:55,08-03-2023 19:57,56:12.5,Within SLA,25:39.3,Within SLA,,Ready to use Software,Tier 1,United Kingdom,Request
Closed,1542,Low,Chat,Product setup,1st line support,Connor Danielovitch,08-03-2023 06:49,09-03-2023 06:49,08-03-2023 06:51,52:21.0,SLA Violated,05:33.8,SLA Violated,12:53.9,Ready to use Software,Tier 1,United Kingdom,Request
Closed,1543,Medium,Chat,Pricing and licensing,1st line support,Bernard Beckley,08-03-2023 18:53,09-03-2023 18:53,08-03-2023 18:55,54:53.8,Within SLA,18:29.7,SLA Violated,21:07.8,Training and Consulting Services,Tier 1,Poland,Request
Closed,1544,Low,Chat,Product setup,1st line support,Connor Danielovitch,08-03-2023 21:01,09-03-2023 21:01,08-03-2023 21:03,02:08.4,Within SLA,28:21.2,Within SLA,19:28.7,Custom software development,Tier 1,France,Request
In progress,1545,Low,Chat,Feature request,1st line support,Bernard Beckley,08-03-2023 19:24,09-03-2023 19:24,08-03-2023 19:26,30:31.5,SLA Violated,,SLA Violated,,Custom software development,Tier 1,Bulgaria,Change
In progress,1546,Medium,Chat,Other,2nd line support,Heather Urry,08-03-2023 01:14,09-03-2023 01:14,08-03-2023 01:16,16:09.0,Within SLA,,SLA Violated,,Custom software development,Tier 2,Italy,Request
Resolved,1547,Low,Email,Other,2nd line support,Adolpho Messingham,08-03-2023 16:10,10-03-2023 16:10,08-03-2023 17:10,01:41.5,Within SLA,07:39.0,Within SLA,,Ready to use Software,Tier 2,Austria,Request
Closed,1548,Medium,Email,Other,1st line support,Nicola Wane,08-03-2023 07:47,10-03-2023 07:47,08-03-2023 08:47,27:01.3,SLA Violated,09:31.2,Within SLA,16:12.6,Training and Consulting Services,Tier 1,Italy,Request
In progress,1549,Low,Chat,Purchasing and invoicing,1st line support,Sheela Cutten,08-03-2023 19:22,09-03-2023 19:22,08-03-2023 19:24,22:43.1,Within SLA,,SLA Violated,,Training and Consulting Services,Tier 1,Republic of Ireland,Request
Resolved,1550,Low,Chat,Feature request,1st line support,Bernard Beckley,09-03-2023 07:31,10-03-2023 07:31,09-03-2023 07:33,31:46.9,Within SLA,22:37.7,Within SLA,,Ready to use Software,Tier 1,Poland,Change
Closed,1551,High,Email,Pricing and licensing,1st line support,Kristos Westoll,09-03-2023 18:37,11-03-2023 18:37,09-03-2023 19:37,50:07.1,Within SLA,31:50.2,Within SLA,39:09.5,Other,Tier 1,Bulgaria,Request
Closed,1552,Low,Email,Pricing and licensing,1st line support,Nicola Wane,09-03-2023 05:24,11-03-2023 05:24,09-03-2023 06:24,07:16.6,Within SLA,09:51.5,Within SLA,01:09.2,Custom software development,Tier 1,Austria,Request
In progress,1553,Medium,Email,Feature request,1st line support,Connor Danielovitch,09-03-2023 22:52,11-03-2023 22:52,09-03-2023 23:52,53:38.5,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,Italy,Change
Closed,1556,High,Email,Product setup,1st line support,Bernard Beckley,09-03-2023 20:08,11-03-2023 20:08,09-03-2023 21:08,26:57.1,Within SLA,53:36.6,Within SLA,54:20.6,Other,Tier 1,United Kingdom,Request
Resolved,1557,Medium,Email,Pricing and licensing,1st line support,Sheela Cutten,09-03-2023 01:51,11-03-2023 01:51,09-03-2023 02:51,21:02.3,Within SLA,55:06.0,Within SLA,,Training and Consulting Services,Tier 1,Republic of Ireland,Request
Closed,1560,High,Email,Feature request,2nd line support,Michele Whyatt,10-03-2023 04:09,12-03-2023 04:09,10-03-2023 05:09,34:11.3,Within SLA,42:37.4,Within SLA,37:11.5,Ready to use Software,Tier 2,Austria,Change
Closed,1561,Low,Chat,Feature request,2nd line support,Adolpho Messingham,10-03-2023 17:41,11-03-2023 17:41,10-03-2023 17:43,42:58.9,Within SLA,12:54.0,Within SLA,26:04.3,Other,Tier 2,United Kingdom,Change
In progress,1562,Low,Email,Feature request,2nd line support,Adolpho Messingham,10-03-2023 00:32,12-03-2023 00:32,10-03-2023 01:32,13:09.5,Within SLA,,SLA Violated,,Other,Tier 2,United Kingdom,Change
Resolved,1563,Low,Chat,Feature request,1st line support,Sheela Cutten,10-03-2023 00:43,11-03-2023 00:43,10-03-2023 00:45,45:17.7,Within SLA,07:43.3,Within SLA,,Custom software development,Tier 1,Bulgaria,Change
Closed,1565,Medium,Email,Pricing and licensing,1st line support,Bernard Beckley,10-03-2023 06:44,12-03-2023 06:44,10-03-2023 07:44,40:30.3,Within SLA,31:11.1,Within SLA,36:51.3,Custom software development,Tier 1,United Kingdom,Request
In progress,1567,Medium,Email,Other,1st line support,Connor Danielovitch,11-03-2023 22:08,13-03-2023 22:08,11-03-2023 23:08,37:09.7,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,Austria,Request
Resolved,1568,Medium,Email,Product setup,1st line support,Sheela Cutten,11-03-2023 04:34,13-03-2023 04:34,11-03-2023 05:34,02:24.3,Within SLA,49:07.0,Within SLA,,Ready to use Software,Tier 1,Czech Republic,Request
Resolved,1573,Low,Email,Product setup,2nd line support,Heather Urry,11-03-2023 01:06,13-03-2023 01:06,11-03-2023 02:06,50:22.2,Within SLA,53:41.6,Within SLA,,Ready to use Software,Tier 2,United Kingdom,Request
Resolved,1574,Medium,Chat,Other,1st line support,Nicola Wane,11-03-2023 15:34,12-03-2023 15:34,11-03-2023 15:36,35:13.8,Within SLA,31:07.0,Within SLA,,Ready to use Software,Tier 1,United Kingdom,Request
Resolved,1575,High,Email,Feature request,1st line support,Sheela Cutten,12-03-2023 03:04,14-03-2023 03:04,12-03-2023 04:04,31:01.2,Within SLA,42:24.7,SLA Violated,,Custom software development,Tier 1,Italy,Change
Resolved,1576,Low,Email,Purchasing and invoicing,2nd line support,Michele Whyatt,12-03-2023 01:00,14-03-2023 01:00,12-03-2023 02:00,46:15.4,Within SLA,29:28.1,Within SLA,,Ready to use Software,Tier 2,Austria,Request
Closed,1577,Medium,Email,Bug report,1st line support,Connor Danielovitch,12-03-2023 19:12,14-03-2023 19:12,12-03-2023 20:12,48:43.3,Within SLA,38:18.0,Within SLA,48:25.5,Ready to use Software,Tier 1,United Kingdom,Incident
Closed,1581,Low,Email,Bug report,2nd line support,Michele Whyatt,13-03-2023 15:58,15-03-2023 15:58,13-03-2023 16:58,19:06.6,Within SLA,11:28.3,Within SLA,44:35.5,Ready to use Software,Tier 2,Bulgaria,Incident
Resolved,1582,Low,Phone,Purchasing and invoicing,1st line support,Nicola Wane,13-03-2023 11:05,15-03-2023 11:05,13-03-2023 11:07,05:29.4,Within SLA,34:06.8,Within SLA,,Ready to use Software,Tier 1,Poland,Request
Closed,1583,Medium,Chat,Training request,1st line support,Kristos Westoll,13-03-2023 05:33,14-03-2023 05:33,13-03-2023 05:35,35:00.5,Within SLA,01:28.1,Within SLA,57:34.1,Training and Consulting Services,Tier 1,Poland,Request
In progress,1584,Low,Chat,Feature request,1st line support,Connor Danielovitch,13-03-2023 13:19,14-03-2023 13:19,13-03-2023 13:21,20:29.1,Within SLA,,SLA Violated,,Other,Tier 1,United Kingdom,Change
Closed,1585,Low,Email,Product setup,2nd line support,Michele Whyatt,13-03-2023 21:36,15-03-2023 21:36,13-03-2023 22:36,31:54.6,Within SLA,08:44.1,Within SLA,20:17.4,Training and Consulting Services,Tier 2,Slovenia,Request
Open,1586,Medium,Email,Product setup,1st line support,Nicola Wane,13-03-2023 17:00,15-03-2023 17:00,13-03-2023 18:00,,SLA Violated,,SLA Violated,,Ready to use Software,Tier 1,Greece,Request
Closed,1587,Medium,Email,Pricing and licensing,1st line support,Connor Danielovitch,13-03-2023 08:21,15-03-2023 08:21,13-03-2023 09:21,04:45.7,Within SLA,09:45.3,Within SLA,22:42.7,Other,Tier 1,United Kingdom,Request
Resolved,1588,Low,Chat,Purchasing and invoicing,2nd line support,Heather Urry,13-03-2023 15:59,14-03-2023 15:59,13-03-2023 16:01,00:41.6,Within SLA,19:23.1,SLA Violated,,Ready to use Software,Tier 2,Greece,Request
Closed,1589,Low,Chat,Feature request,1st line support,Sheela Cutten,13-03-2023 20:46,14-03-2023 20:46,13-03-2023 20:48,47:36.9,Within SLA,57:26.0,Within SLA,58:51.4,Other,Tier 1,Greece,Change
In progress,1590,Low,Email,Purchasing and invoicing,1st line support,Nicola Wane,13-03-2023 10:15,15-03-2023 10:15,13-03-2023 11:15,41:31.0,Within SLA,,SLA Violated,,Training and Consulting Services,Tier 1,Czech Republic,Request
Closed,1591,Low,Chat,Feature request,1st line support,Sheela Cutten,13-03-2023 11:05,14-03-2023 11:05,13-03-2023 11:07,06:20.1,Within SLA,27:01.7,Within SLA,06:17.7,Other,Tier 1,Italy,Change
In progress,1592,Low,Email,Other,1st line support,Sheela Cutten,13-03-2023 07:20,15-03-2023 07:20,13-03-2023 08:20,03:15.7,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,Slovenia,Request
Resolved,1593,Medium,Email,Product setup,2nd line support,Michele Whyatt,14-03-2023 09:39,16-03-2023 09:39,14-03-2023 10:39,12:45.7,Within SLA,06:00.0,Within SLA,,Ready to use Software,Tier 2,Italy,Request
Closed,1594,High,Email,Product setup,1st line support,Kristos Westoll,14-03-2023 10:08,16-03-2023 10:08,14-03-2023 11:08,18:39.5,Within SLA,26:38.5,Within SLA,13:27.2,Custom software development,Tier 1,United Kingdom,Request
Resolved,1595,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,14-03-2023 18:42,16-03-2023 18:42,14-03-2023 19:42,30:38.6,Within SLA,46:56.1,Within SLA,,Other,Tier 1,Spain,Request
Closed,1596,Low,Chat,Product setup,1st line support,Bernard Beckley,14-03-2023 03:18,15-03-2023 03:18,14-03-2023 03:20,22:14.2,SLA Violated,59:40.2,Within SLA,26:13.6,Custom software development,Tier 1,Slovenia,Request
Closed,1597,Low,Email,Pricing and licensing,1st line support,Connor Danielovitch,14-03-2023 19:42,16-03-2023 19:42,14-03-2023 20:42,04:44.4,Within SLA,11:48.7,Within SLA,23:48.5,Training and Consulting Services,Tier 1,Italy,Request
Closed,1598,Medium,Email,Product setup,1st line support,Kristos Westoll,14-03-2023 12:18,16-03-2023 12:18,14-03-2023 13:18,01:04.3,Within SLA,47:03.4,Within SLA,49:42.0,Other,Tier 1,Italy,Request
Closed,1599,Medium,Phone,Product setup,1st line support,Kristos Westoll,14-03-2023 10:19,16-03-2023 10:19,14-03-2023 10:21,21:17.0,SLA Violated,07:00.0,Within SLA,08:14.7,Custom software development,Tier 1,Bulgaria,Request
Closed,1600,Medium,Email,Other,1st line support,Sheela Cutten,14-03-2023 11:12,16-03-2023 11:12,14-03-2023 12:12,37:39.9,Within SLA,27:17.3,Within SLA,35:41.3,Training and Consulting Services,Tier 1,United Kingdom,Request
Closed,1601,Low,Email,Product setup,1st line support,Sheela Cutten,15-03-2023 00:21,17-03-2023 00:21,15-03-2023 01:21,31:00.7,Within SLA,55:59.2,Within SLA,27:00.8,Other,Tier 1,Austria,Request
Resolved,1602,High,Email,Feature request,2nd line support,Michele Whyatt,15-03-2023 00:44,17-03-2023 00:44,15-03-2023 01:44,35:42.4,Within SLA,29:40.0,Within SLA,,Ready to use Software,Tier 2,Germany,Change
Resolved,1603,Medium,Email,Feature request,1st line support,Sheela Cutten,15-03-2023 12:59,17-03-2023 12:59,15-03-2023 13:59,35:21.7,Within SLA,08:16.4,SLA Violated,,Ready to use Software,Tier 1,Poland,Change
In progress,1604,High,Email,Product setup,1st line support,Sheela Cutten,15-03-2023 03:33,17-03-2023 03:33,15-03-2023 04:33,48:41.2,Within SLA,,SLA Violated,,Custom software development,Tier 1,Poland,Request
Closed,1605,High,Phone,Product setup,1st line support,Bernard Beckley,15-03-2023 10:58,17-03-2023 10:58,15-03-2023 11:00,04:40.4,SLA Violated,19:16.7,Within SLA,48:12.3,Custom software development,Tier 1,Poland,Request
Resolved,1606,High,Chat,Bug report,1st line support,Bernard Beckley,15-03-2023 12:11,16-03-2023 12:11,15-03-2023 12:13,12:32.3,Within SLA,56:25.1,Within SLA,,Custom software development,Tier 1,Italy,Incident
Closed,1607,Low,Email,Pricing and licensing,1st line support,Bernard Beckley,15-03-2023 16:08,17-03-2023 16:08,15-03-2023 17:08,37:57.6,Within SLA,02:37.2,Within SLA,52:29.0,Custom software development,Tier 1,Germany,Request
Closed,1608,High,Email,Product setup,1st line support,Nicola Wane,16-03-2023 17:09,18-03-2023 17:09,16-03-2023 18:09,58:35.5,Within SLA,10:52.8,Within SLA,58:33.3,Ready to use Software,Tier 1,Austria,Request
Resolved,1609,Medium,Chat,Pricing and licensing,1st line support,Sheela Cutten,16-03-2023 20:58,17-03-2023 20:58,16-03-2023 21:00,58:16.8,Within SLA,49:58.1,Within SLA,,Training and Consulting Services,Tier 1,Slovenia,Request
Closed,1610,Low,Chat,Pricing and licensing,1st line support,Kristos Westoll,16-03-2023 04:46,17-03-2023 04:46,16-03-2023 04:48,46:27.8,Within SLA,23:46.6,Within SLA,08:47.9,Ready to use Software,Tier 1,France,Request
Closed,1611,High,Email,Purchasing and invoicing,1st line support,Kristos Westoll,16-03-2023 18:51,18-03-2023 18:51,16-03-2023 19:51,21:33.9,Within SLA,58:32.3,Within SLA,20:21.7,Custom software development,Tier 1,Italy,Request
Resolved,1612,High,Chat,Bug report,1st line support,Connor Danielovitch,16-03-2023 02:30,17-03-2023 02:30,16-03-2023 02:32,31:43.2,Within SLA,24:10.2,Within SLA,,Custom software development,Tier 1,United Kingdom,Incident
Closed,1613,Medium,Chat,Product setup,1st line support,Connor Danielovitch,16-03-2023 15:56,17-03-2023 15:56,16-03-2023 15:58,56:36.0,Within SLA,32:42.5,Within SLA,11:35.2,Ready to use Software,Tier 1,Bulgaria,Request
Resolved,1614,High,Email,Bug report,1st line support,Sheela Cutten,16-03-2023 18:30,18-03-2023 18:30,16-03-2023 19:30,29:31.4,SLA Violated,24:43.7,Within SLA,,Custom software development,Tier 1,France,Incident
Closed,1615,Medium,Email,Training request,1st line support,Connor Danielovitch,16-03-2023 13:15,18-03-2023 13:15,16-03-2023 14:15,16:49.1,Within SLA,06:43.8,Within SLA,32:53.4,Training and Consulting Services,Tier 1,Italy,Request
Resolved,1616,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,16-03-2023 06:25,18-03-2023 06:25,16-03-2023 07:25,26:38.5,Within SLA,04:16.8,Within SLA,,Ready to use Software,Tier 1,Austria,Request
Resolved,1617,Medium,Email,Product setup,1st line support,Sheela Cutten,16-03-2023 12:36,18-03-2023 12:36,16-03-2023 13:36,49:57.4,Within SLA,25:32.8,Within SLA,,Ready to use Software,Tier 1,Republic of Ireland,Request
Closed,1618,Medium,Email,Product setup,1st line support,Bernard Beckley,17-03-2023 02:32,19-03-2023 02:32,17-03-2023 03:32,00:06.7,Within SLA,02:30.5,SLA Violated,48:54.8,Ready to use Software,Tier 1,Italy,Request
Resolved,1619,Low,Email,Product setup,1st line support,Kristos Westoll,17-03-2023 10:58,19-03-2023 10:58,17-03-2023 11:58,04:56.4,Within SLA,12:07.0,SLA Violated,,Other,Tier 1,Austria,Request
Resolved,1626,High,Email,Feature request,1st line support,Nicola Wane,18-03-2023 00:21,20-03-2023 00:21,18-03-2023 01:21,33:52.3,Within SLA,39:42.5,Within SLA,,Ready to use Software,Tier 1,Germany,Change
Closed,1627,Low,Email,Product setup,1st line support,Sheela Cutten,18-03-2023 06:34,20-03-2023 06:34,18-03-2023 07:34,05:21.1,Within SLA,12:27.7,Within SLA,40:49.1,Training and Consulting Services,Tier 1,Bulgaria,Request
Resolved,1628,High,Email,Bug report,1st line support,Sheela Cutten,18-03-2023 08:08,20-03-2023 08:08,18-03-2023 09:08,00:07.4,Within SLA,11:32.4,Within SLA,,Ready to use Software,Tier 1,Czech Republic,Incident
Closed,1629,Low,Chat,Feature request,1st line support,Bernard Beckley,18-03-2023 23:00,19-03-2023 23:00,18-03-2023 23:02,01:34.0,Within SLA,24:56.3,Within SLA,09:45.8,Custom software development,Tier 1,Slovenia,Change
Resolved,1630,Low,Phone,Feature request,1st line support,Sheela Cutten,18-03-2023 08:59,20-03-2023 08:59,18-03-2023 09:01,01:39.9,Within SLA,41:59.0,Within SLA,,Ready to use Software,Tier 1,Slovenia,Change
In progress,1631,Low,Phone,Product setup,1st line support,Connor Danielovitch,19-03-2023 18:00,21-03-2023 18:00,19-03-2023 18:02,04:12.9,SLA Violated,,SLA Violated,,Ready to use Software,Tier 1,Poland,Request
Resolved,1632,Low,Email,Feature request,1st line support,Sheela Cutten,19-03-2023 21:00,21-03-2023 21:00,19-03-2023 22:00,55:47.9,SLA Violated,11:42.1,Within SLA,,Custom software development,Tier 1,Germany,Change
Closed,1633,High,Email,Purchasing and invoicing,1st line support,Kristos Westoll,19-03-2023 14:00,21-03-2023 14:00,19-03-2023 15:00,44:57.4,Within SLA,31:49.4,Within SLA,20:44.5,Training and Consulting Services,Tier 1,United Kingdom,Request
Closed,1634,Medium,Chat,Other,1st line support,Sheela Cutten,19-03-2023 22:55,20-03-2023 22:55,19-03-2023 22:57,00:30.4,SLA Violated,46:47.2,SLA Violated,25:45.0,Ready to use Software,Tier 1,Bulgaria,Request
Closed,1635,Medium,Email,Pricing and licensing,1st line support,Sheela Cutten,19-03-2023 22:09,21-03-2023 22:09,19-03-2023 23:09,28:36.9,Within SLA,03:42.5,Within SLA,18:02.0,Ready to use Software,Tier 1,Greece,Request
Closed,1636,Low,Chat,Product setup,1st line support,Connor Danielovitch,19-03-2023 22:50,20-03-2023 22:50,19-03-2023 22:52,50:35.1,Within SLA,39:07.0,Within SLA,58:48.7,Custom software development,Tier 1,Greece,Request
In progress,1637,Low,Phone,Product setup,1st line support,Connor Danielovitch,19-03-2023 12:53,21-03-2023 12:53,19-03-2023 12:55,59:45.1,SLA Violated,,SLA Violated,,Custom software development,Tier 1,Italy,Request
Closed,1638,Medium,Email,Feature request,1st line support,Nicola Wane,20-03-2023 13:23,22-03-2023 13:23,20-03-2023 14:23,05:28.1,Within SLA,53:29.4,Within SLA,19:09.2,Ready to use Software,Tier 1,Poland,Change
In progress,1639,Low,Email,Feature request,2nd line support,Adolpho Messingham,20-03-2023 19:10,22-03-2023 19:10,20-03-2023 20:10,28:28.1,Within SLA,,SLA Violated,,Other,Tier 2,Germany,Change
Resolved,1640,High,Phone,Product setup,1st line support,Connor Danielovitch,20-03-2023 07:20,22-03-2023 07:20,20-03-2023 07:22,21:27.2,Within SLA,57:46.3,Within SLA,,Custom software development,Tier 1,Slovenia,Request
Resolved,1641,Medium,Email,Product setup,1st line support,Kristos Westoll,20-03-2023 22:27,22-03-2023 22:27,20-03-2023 23:27,37:30.4,Within SLA,54:25.0,Within SLA,,Other,Tier 1,Slovenia,Request
Closed,1642,Low,Phone,Product setup,2nd line support,Adolpho Messingham,20-03-2023 16:27,22-03-2023 16:27,20-03-2023 16:29,28:37.6,Within SLA,58:27.1,Within SLA,47:51.6,Training and Consulting Services,Tier 2,United Kingdom,Request
Closed,1643,Low,Chat,Product setup,1st line support,Bernard Beckley,20-03-2023 21:49,21-03-2023 21:49,20-03-2023 21:51,49:18.2,Within SLA,09:34.3,Within SLA,31:49.9,Custom software development,Tier 1,Spain,Request
Closed,1644,Low,Email,Feature request,1st line support,Sheela Cutten,20-03-2023 01:25,22-03-2023 01:25,20-03-2023 02:25,23:01.8,Within SLA,04:22.9,Within SLA,14:20.3,Other,Tier 1,Spain,Change
Closed,1645,Medium,Email,Bug report,1st line support,Connor Danielovitch,20-03-2023 18:36,22-03-2023 18:36,20-03-2023 19:36,32:38.9,Within SLA,28:53.3,Within SLA,04:25.2,Ready to use Software,Tier 1,United Kingdom,Incident
Closed,1646,Low,Email,Purchasing and invoicing,1st line support,Sheela Cutten,21-03-2023 19:11,23-03-2023 19:11,21-03-2023 20:11,10:44.6,Within SLA,08:32.2,Within SLA,06:59.7,Custom software development,Tier 1,France,Request
Closed,1647,Low,Chat,Feature request,2nd line support,Michele Whyatt,21-03-2023 00:03,22-03-2023 00:03,21-03-2023 00:05,03:37.8,Within SLA,27:49.2,Within SLA,08:10.7,Ready to use Software,Tier 2,Poland,Change
Closed,1648,High,Phone,Product setup,2nd line support,Heather Urry,21-03-2023 08:43,23-03-2023 08:43,21-03-2023 08:45,43:51.9,Within SLA,07:36.2,SLA Violated,18:22.2,Ready to use Software,Tier 2,Germany,Request
Resolved,1649,Low,Chat,Training request,1st line support,Kristos Westoll,21-03-2023 10:42,22-03-2023 10:42,21-03-2023 10:44,44:07.6,SLA Violated,23:14.4,Within SLA,,Training and Consulting Services,Tier 1,Italy,Request
In progress,1650,Medium,Email,Other,1st line support,Bernard Beckley,22-03-2023 04:26,24-03-2023 04:26,22-03-2023 05:26,00:29.9,Within SLA,,SLA Violated,,Ready to use Software,Tier 1,France,Request
Resolved,1651,Low,Email,Feature request,1st line support,Bernard Beckley,22-03-2023 00:13,24-03-2023 00:13,22-03-2023 01:13,53:11.2,Within SLA,09:22.8,Within SLA,,Other,Tier 1,Greece,Change
Closed,1652,Medium,Chat,Feature request,2nd line support,Heather Urry,22-03-2023 05:00,23-03-2023 05:00,22-03-2023 05:02,02:37.5,Within SLA,19:01.9,Within SLA,56:13.9,Custom software development,Tier 2,Austria,Change
Resolved,1653,Medium,Email,Product setup,1st line support,Nicola Wane,22-03-2023 01:30,24-03-2023 01:30,22-03-2023 02:30,17:00.8,Within SLA,08:56.3,Within SLA,,Training and Consulting Services,Tier 1,Greece,Request
Closed,1654,High,Email,Product setup,2nd line support,Heather Urry,22-03-2023 07:55,24-03-2023 07:55,22-03-2023 08:55,43:58.0,Within SLA,08:02.7,Within SLA,47:14.0,Custom software development,Tier 2,United Kingdom,Request
Closed,1655,Low,Email,Product setup,1st line support,Connor Danielovitch,22-03-2023 18:21,24-03-2023 18:21,22-03-2023 19:21,06:15.0,SLA Violated,11:34.4,Within SLA,44:24.9,Custom software development,Tier 1,Slovenia,Request
Closed,1656,Low,Email,Product setup,2nd line support,Adolpho Messingham,23-03-2023 06:03,25-03-2023 06:03,23-03-2023 07:03,50:19.1,Within SLA,52:10.2,SLA Violated,44:59.8,Ready to use Software,Tier 2,Bulgaria,Request
Closed,1657,Medium,Phone,Bug report,1st line support,Nicola Wane,23-03-2023 13:40,25-03-2023 13:40,23-03-2023 13:42,42:29.4,Within SLA,24:48.3,Within SLA,44:13.5,Ready to use Software,Tier 1,Spain,Incident
Closed,1658,High,Email,Other,1st line support,Nicola Wane,23-03-2023 13:58,25-03-2023 13:58,23-03-2023 14:58,27:28.4,Within SLA,50:46.5,Within SLA,57:00.1,Custom software development,Tier 1,United Kingdom,Request
Resolved,1659,Low,Email,Bug report,2nd line support,Adolpho Messingham,23-03-2023 14:27,25-03-2023 14:27,23-03-2023 15:27,26:06.0,Within SLA,18:47.8,Within SLA,,Training and Consulting Services,Tier 2,Greece,Incident
In progress,1660,Low,Email,Feature request,2nd line support,Michele Whyatt,23-03-2023 22:39,25-03-2023 22:39,23-03-2023 23:39,30:12.0,Within SLA,,SLA Violated,,Other,Tier 2,Italy,Change
Closed,1661,Medium,Chat,Pricing and licensing,1st line support,Bernard Beckley,23-03-2023 05:03,24-03-2023 05:03,23-03-2023 05:05,05:06.3,Within SLA,33:05.9,Within SLA,11:32.0,Training and Consulting Services,Tier 1,Italy,Request
Resolved,1665,Medium,Email,Feature request,1st line support,Nicola Wane,24-03-2023 07:33,26-03-2023 07:33,24-03-2023 08:33,02:14.8,Within SLA,21:56.0,Within SLA,,Custom software development,Tier 1,France,Change
In progress,1666,Medium,Email,Product setup,1st line support,Bernard Beckley,24-03-2023 22:12,26-03-2023 22:12,24-03-2023 23:12,54:22.9,Within SLA,,SLA Violated,,Custom software development,Tier 1,Greece,Request
Closed,1668,Medium,Email,Purchasing and invoicing,1st line support,Nicola Wane,24-03-2023 04:18,26-03-2023 04:18,24-03-2023 05:18,49:47.5,Within SLA,13:45.0,Within SLA,12:50.2,Custom software development,Tier 1,Germany,Request
Closed,1669,Medium,Email,Feature request,1st line support,Nicola Wane,24-03-2023 11:22,26-03-2023 11:22,24-03-2023 12:22,34:26.6,Within SLA,18:36.7,Within SLA,20:03.1,Ready to use Software,Tier 1,Greece,Change
Closed,1670,Low,Email,Feature request,1st line support,Kristos Westoll,24-03-2023 20:23,26-03-2023 20:23,24-03-2023 21:23,58:52.7,Within SLA,36:20.7,Within SLA,37:43.1,Custom software development,Tier 1,Germany,Change
Closed,1671,High,Email,Purchasing and invoicing,1st line support,Kristos Westoll,24-03-2023 13:35,26-03-2023 13:35,24-03-2023 14:35,45:17.1,SLA Violated,36:52.0,SLA Violated,42:05.7,Other,Tier 1,Germany,Request
Closed,1673,High,Chat,Feature request,1st line support,Nicola Wane,24-03-2023 21:33,25-03-2023 21:33,24-03-2023 21:35,35:18.7,Within SLA,43:26.0,Within SLA,01:01.8,Ready to use Software,Tier 1,France,Change
